timestamp,model_id,task,dataset_split,seq_len,batch_size,dtype,method,qkv_mode,rank,budget,backend,stage,seed,metric_name,metric_value,notes
2026-03-11T00:04:55,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,adasvd,per_head,,0.527,naive,compress_eval,42,accuracy,0.571101,stage=no_finetune
2026-03-11T00:04:55,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,adasvd,per_head,,0.527,sdpa,compress_eval,42,accuracy,0.571101,stage=no_finetune sdpa_path=flash
2026-03-11T00:04:55,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,adasvd,per_head,,0.527,flashsvd15,compress_eval,42,accuracy,0.571101,stage=no_finetune
2026-03-11T00:05:29,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,adasvd,per_head,,0.527,naive,compress_eval,42,f1,0.007143,stage=no_finetune
2026-03-11T00:05:29,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,adasvd,per_head,,0.527,sdpa,compress_eval,42,f1,0.007143,stage=no_finetune sdpa_path=flash
2026-03-11T00:05:29,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,adasvd,per_head,,0.527,flashsvd15,compress_eval,42,f1,0.007143,stage=no_finetune
2026-03-11T00:13:58,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,adasvd,per_head,,0.527,naive,compress_eval,42,f1,0.570826,stage=no_finetune
2026-03-11T00:13:58,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,adasvd,per_head,,0.527,sdpa,compress_eval,42,f1,0.570826,stage=no_finetune sdpa_path=flash
2026-03-11T00:13:58,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,adasvd,per_head,,0.527,flashsvd15,compress_eval,42,f1,0.572016,stage=no_finetune
2026-03-11T00:16:25,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,adasvd,per_head,,0.527,naive,compress_eval,42,accuracy,0.403668,stage=no_finetune
2026-03-11T00:16:25,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,adasvd,per_head,,0.527,sdpa,compress_eval,42,accuracy,0.403668,stage=no_finetune sdpa_path=flash
2026-03-11T00:16:25,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,adasvd,per_head,,0.527,flashsvd15,compress_eval,42,accuracy,0.403057,stage=no_finetune
2026-03-11T00:18:02,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,adasvd,per_head,,0.527,naive,compress_eval,42,accuracy,0.547684,stage=no_finetune
2026-03-11T00:18:02,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,adasvd,per_head,,0.527,sdpa,compress_eval,42,accuracy,0.547684,stage=no_finetune sdpa_path=flash
2026-03-11T00:18:02,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,adasvd,per_head,,0.527,flashsvd15,compress_eval,42,accuracy,0.546403,stage=no_finetune
2026-03-11T00:18:33,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,adasvd,per_head,,0.527,naive,compress_eval,42,accuracy,0.472924,stage=no_finetune
2026-03-11T00:18:33,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,adasvd,per_head,,0.527,sdpa,compress_eval,42,accuracy,0.472924,stage=no_finetune sdpa_path=flash
2026-03-11T00:18:33,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,adasvd,per_head,,0.527,flashsvd15,compress_eval,42,accuracy,0.472924,stage=no_finetune
2026-03-11T00:19:24,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,adasvd,per_head,,0.527,naive,compress_eval,42,pearson,0.343664,stage=no_finetune
2026-03-11T00:19:24,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,adasvd,per_head,,0.527,sdpa,compress_eval,42,pearson,0.343664,stage=no_finetune sdpa_path=flash
2026-03-11T00:19:24,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,adasvd,per_head,,0.527,flashsvd15,compress_eval,42,pearson,0.346050,stage=no_finetune
2026-03-11T00:20:51,compressed_models/modernbert/dense/boolq/pretrained_base,boolq,validation,512,32,bf16,svd,per_head,,,naive,compress_eval,42,accuracy,0.607645,stage=no_finetune
2026-03-11T00:20:51,compressed_models/modernbert/dense/boolq/pretrained_base,boolq,validation,512,32,bf16,svd,per_head,,,sdpa,compress_eval,42,accuracy,0.607645,stage=no_finetune sdpa_path=flash
2026-03-11T00:20:51,compressed_models/modernbert/dense/boolq/pretrained_base,boolq,validation,512,32,bf16,svd,per_head,,,flashsvd15,compress_eval,42,accuracy,0.607951,stage=no_finetune
2026-03-11T00:21:15,compressed_models/modernbert/dense/rte_sg/pretrained_base,rte_sg,validation,512,32,bf16,svd,per_head,,,naive,compress_eval,42,accuracy,0.465704,stage=no_finetune
2026-03-11T00:21:15,compressed_models/modernbert/dense/rte_sg/pretrained_base,rte_sg,validation,512,32,bf16,svd,per_head,,,sdpa,compress_eval,42,accuracy,0.465704,stage=no_finetune sdpa_path=flash
2026-03-11T00:21:15,compressed_models/modernbert/dense/rte_sg/pretrained_base,rte_sg,validation,512,32,bf16,svd,per_head,,,flashsvd15,compress_eval,42,accuracy,0.472924,stage=no_finetune
2026-03-11T00:21:44,compressed_models/modernbert/dense/wic/pretrained_base,wic,validation,512,32,bf16,svd,per_head,,,naive,compress_eval,42,accuracy,0.501567,stage=no_finetune
2026-03-11T00:21:44,compressed_models/modernbert/dense/wic/pretrained_base,wic,validation,512,32,bf16,svd,per_head,,,sdpa,compress_eval,42,accuracy,0.501567,stage=no_finetune sdpa_path=flash
2026-03-11T00:21:44,compressed_models/modernbert/dense/wic/pretrained_base,wic,validation,512,32,bf16,svd,per_head,,,flashsvd15,compress_eval,42,accuracy,0.501567,stage=no_finetune
2026-03-11T00:22:04,compressed_models/modernbert/dense/cb/pretrained_base,cb,validation,512,32,bf16,svd,per_head,,,naive,compress_eval,42,accuracy,0.410714,stage=no_finetune
2026-03-11T00:22:04,compressed_models/modernbert/dense/cb/pretrained_base,cb,validation,512,32,bf16,svd,per_head,,,sdpa,compress_eval,42,accuracy,0.410714,stage=no_finetune sdpa_path=flash
