task,method,dtype,seq_len,batch_size,backend,lat_real,lat_synthetic,speedup_real,speedup_synth,speedup_delta,seq_pad_real
stsb,dense,bf16,512,32,naive,24.6,23.53,1.0,1.0,0.0,93.93
stsb,dense,bf16,512,32,sdpa,24.62,23.53,0.999,1.0,0.001,93.93
stsb,drone,bf16,512,32,flashsvd,44.2,44.62,1.466,1.146,-0.32,93.93
stsb,drone,bf16,512,32,flashsvd15,22.27,22.62,2.91,2.261,-0.649,93.93
stsb,drone,bf16,512,32,naive,64.8,51.15,1.0,1.0,0.0,93.93
stsb,drone,bf16,512,32,sdpa,26.36,25.34,2.458,2.019,-0.439,93.93
stsb,fwsvd,bf16,512,32,flashsvd,44.15,44.53,1.467,1.148,-0.319,93.93
stsb,fwsvd,bf16,512,32,flashsvd15,22.36,22.63,2.898,2.26,-0.638,93.93
stsb,fwsvd,bf16,512,32,naive,64.79,51.14,1.0,1.0,0.0,93.93
stsb,fwsvd,bf16,512,32,sdpa,26.41,25.32,2.453,2.02,-0.433,93.93
stsb,svd,bf16,512,32,flashsvd,44.07,44.53,1.471,1.149,-0.322,93.93
stsb,svd,bf16,512,32,flashsvd15,22.18,22.54,2.922,2.269,-0.653,93.93
stsb,svd,bf16,512,32,naive,64.81,51.15,1.0,1.0,0.0,93.93
stsb,svd,bf16,512,32,sdpa,26.3,25.28,2.464,2.023,-0.441,93.93
