task,method,backend,input_mode,dtype,seq_len,batch_size,n_repeats,latency_ms,latency_ms_std,throughput_sps,throughput_sps_std,cv_latency_pct
rte,drone,naive,synthetic,bf16,512,32,3,51.16,0.07,625.5,0.9,0.14
rte,drone,sdpa,real,bf16,512,32,3,26.28,0.09,1217.7,3.9,0.34
rte,drone,sdpa,synthetic,bf16,512,32,3,25.3,0.04,1264.8,1.9,0.16
rte,fwsvd,flashsvd,real,bf16,512,32,3,44.1,0.01,725.6,0.2,0.02
rte,fwsvd,flashsvd,synthetic,bf16,512,32,3,44.44,0.13,720.1,2.1,0.29
rte,fwsvd,flashsvd15,real,bf16,512,32,3,22.23,0.09,1439.4,5.7,0.4
rte,fwsvd,flashsvd15,synthetic,bf16,512,32,3,22.54,0.01,1419.8,0.9,0.04
rte,fwsvd,naive,real,bf16,512,32,3,64.81,0.15,493.7,1.1,0.23
rte,fwsvd,naive,synthetic,bf16,512,32,3,51.14,0.06,625.7,0.7,0.12
rte,fwsvd,sdpa,real,bf16,512,32,3,26.32,0.1,1215.6,4.4,0.38
rte,fwsvd,sdpa,synthetic,bf16,512,32,3,25.3,0.02,1265.0,1.0,0.08
rte,svd,flashsvd,real,bf16,512,32,3,44.04,0.03,726.7,0.5,0.07
rte,svd,flashsvd,synthetic,bf16,512,32,3,44.47,0.05,719.6,0.7,0.11
rte,svd,flashsvd15,real,bf16,512,32,3,22.24,0.12,1438.7,7.7,0.54
rte,svd,flashsvd15,synthetic,bf16,512,32,3,22.58,0.05,1417.5,2.9,0.22
rte,svd,naive,real,bf16,512,32,3,64.78,0.15,493.9,1.2,0.23
rte,svd,naive,synthetic,bf16,512,32,3,51.19,0.08,625.1,1.0,0.16
rte,svd,sdpa,real,bf16,512,32,3,26.29,0.1,1217.4,4.6,0.38
rte,svd,sdpa,synthetic,bf16,512,32,3,25.3,0.03,1264.6,1.7,0.12
sst2,adasvd,flashsvd,real,bf16,512,32,3,45.07,0.04,710.0,0.7,0.09
sst2,adasvd,flashsvd,synthetic,bf16,512,32,3,45.26,0.04,707.1,0.7,0.09
sst2,adasvd,flashsvd15,real,bf16,512,32,3,20.4,0.03,1568.7,2.5,0.15
sst2,adasvd,flashsvd15,synthetic,bf16,512,32,3,21.07,0.06,1518.6,4.5,0.28
sst2,adasvd,naive,real,bf16,512,32,3,65.63,0.12,487.6,0.9,0.18
sst2,adasvd,naive,synthetic,bf16,512,32,3,51.74,0.0,618.5,0.0,0.0
sst2,adasvd,sdpa,real,bf16,512,32,3,27.49,0.04,1164.1,1.6,0.15
sst2,adasvd,sdpa,synthetic,bf16,512,32,3,26.45,0.04,1210.0,1.7,0.15
sst2,dense,flashsvd,real,bf16,512,32,3,24.5,0.11,1306.1,5.7,0.45
sst2,dense,flashsvd,synthetic,bf16,512,32,3,23.49,0.07,1362.3,4.2,0.3
sst2,dense,flashsvd15,real,bf16,512,32,3,24.51,0.05,1305.7,2.5,0.2
sst2,dense,flashsvd15,synthetic,bf16,512,32,3,23.51,0.08,1361.1,4.5,0.34
sst2,dense,naive,real,bf16,512,32,3,24.47,0.09,1307.7,4.8,0.37
sst2,dense,naive,synthetic,bf16,512,32,3,23.41,0.13,1367.0,7.4,0.56
sst2,dense,sdpa,real,bf16,512,32,3,24.51,0.1,1305.8,5.4,0.41
sst2,dense,sdpa,synthetic,bf16,512,32,3,23.45,0.07,1364.3,4.3,0.3
sst2,drone,flashsvd,real,bf16,512,32,3,44.14,0.08,725.0,1.3,0.18
sst2,drone,flashsvd,synthetic,bf16,512,32,3,44.51,0.04,718.9,0.7,0.09
sst2,drone,flashsvd15,real,bf16,512,32,3,22.24,0.11,1438.8,7.2,0.49
sst2,drone,flashsvd15,synthetic,bf16,512,32,3,22.52,0.05,1420.8,2.9,0.22
sst2,drone,naive,real,bf16,512,32,3,64.73,0.02,494.4,0.1,0.03
sst2,drone,naive,synthetic,bf16,512,32,3,51.18,0.1,625.3,1.2,0.2
sst2,drone,sdpa,real,bf16,512,32,3,26.35,0.07,1214.3,3.4,0.27
sst2,drone,sdpa,synthetic,bf16,512,32,3,25.3,0.02,1264.6,1.0,0.08
